min_gain,actual_positives,quality_threshold,table_policy,fast_rate,tp,fp,fn,tn,precision,recall,f1,f2,positive_rate
0.01,85,48.0,no_tables,0.972851,2,4,83,132,0.333333,0.023529,0.043956,0.028902,0.027149
0.01,85,50.0,no_tables,0.968326,2,5,83,131,0.285714,0.023529,0.043478,0.028818,0.031674
0.01,85,52.0,no_tables,0.963801,2,6,83,130,0.25,0.023529,0.043011,0.028736,0.036199
0.01,85,54.0,no_tables,0.954751,2,8,83,128,0.2,0.023529,0.042105,0.028571,0.045249
0.01,85,56.0,no_tables,0.954751,2,8,83,128,0.2,0.023529,0.042105,0.028571,0.045249
0.01,85,58.0,no_tables,0.945701,4,8,81,128,0.333333,0.047059,0.082474,0.056818,0.054299
0.01,85,60.0,no_tables,0.945701,4,8,81,128,0.333333,0.047059,0.082474,0.056818,0.054299
0.01,85,62.0,no_tables,0.941176,5,8,80,128,0.384615,0.058824,0.102041,0.070822,0.058824
0.01,85,64.0,no_tables,0.927602,7,9,78,127,0.4375,0.082353,0.138614,0.098315,0.072398
0.01,85,66.0,no_tables,0.895928,10,13,75,123,0.434783,0.117647,0.185185,0.137741,0.104072
0.01,85,68.0,no_tables,0.895928,10,13,75,123,0.434783,0.117647,0.185185,0.137741,0.104072
0.01,85,70.0,no_tables,0.891403,11,13,74,123,0.458333,0.129412,0.201835,0.151099,0.108597
0.01,85,72.0,no_tables,0.891403,11,13,74,123,0.458333,0.129412,0.201835,0.151099,0.108597
0.01,85,74.0,no_tables,0.868778,11,18,74,118,0.37931,0.129412,0.192982,0.149051,0.131222
0.01,85,76.0,no_tables,0.859729,11,20,74,116,0.354839,0.129412,0.189655,0.148248,0.140271
0.01,85,78.0,no_tables,0.837104,12,24,73,112,0.333333,0.141176,0.198347,0.159574,0.162896
0.01,85,80.0,no_tables,0.828054,13,25,72,111,0.342105,0.152941,0.211382,0.171958,0.171946
0.01,85,82.0,no_tables,0.819005,13,27,72,109,0.325,0.152941,0.208,0.171053,0.180995
0.01,85,84.0,no_tables,0.79638,17,28,68,108,0.377778,0.2,0.261538,0.220779,0.20362
0.01,85,86.0,no_tables,0.733032,25,34,60,102,0.423729,0.294118,0.347222,0.313283,0.266968
0.01,85,88.0,no_tables,0.696833,26,41,59,95,0.38806,0.305882,0.342105,0.31941,0.303167
0.01,85,90.0,no_tables,0.642534,29,50,56,86,0.367089,0.341176,0.353659,0.346062,0.357466
0.01,85,92.0,no_tables,0.60181,32,56,53,80,0.363636,0.376471,0.369942,0.373832,0.39819
0.01,85,94.0,no_tables,0.570136,36,59,49,77,0.378947,0.423529,0.4,0.413793,0.429864
0.02,74,40.0,all_tables,0.461538,54,65,20,82,0.453782,0.72973,0.559585,0.650602,0.538462
0.02,74,42.0,all_tables,0.461538,54,65,20,82,0.453782,0.72973,0.559585,0.650602,0.538462
0.02,74,44.0,all_tables,0.457014,54,66,20,81,0.45,0.72973,0.556701,0.649038,0.542986
0.02,74,46.0,all_tables,0.457014,54,66,20,81,0.45,0.72973,0.556701,0.649038,0.542986
0.02,74,48.0,all_tables,0.457014,54,66,20,81,0.45,0.72973,0.556701,0.649038,0.542986
0.02,74,50.0,all_tables,0.452489,54,67,20,80,0.446281,0.72973,0.553846,0.647482,0.547511
0.02,74,52.0,all_tables,0.447964,54,68,20,79,0.442623,0.72973,0.55102,0.645933,0.552036
0.02,74,54.0,all_tables,0.438914,54,70,20,77,0.435484,0.72973,0.545455,0.642857,0.561086
0.02,74,56.0,all_tables,0.438914,54,70,20,77,0.435484,0.72973,0.545455,0.642857,0.561086
0.02,74,58.0,all_tables,0.438914,54,70,20,77,0.435484,0.72973,0.545455,0.642857,0.561086
0.02,74,60.0,all_tables,0.438914,54,70,20,77,0.435484,0.72973,0.545455,0.642857,0.561086
0.02,74,62.0,all_tables,0.438914,54,70,20,77,0.435484,0.72973,0.545455,0.642857,0.561086
0.02,74,64.0,all_tables,0.429864,54,72,20,75,0.428571,0.72973,0.54,0.63981,0.570136
0.02,74,66.0,all_tables,0.411765,55,75,19,72,0.423077,0.743243,0.539216,0.64554,0.588235
0.02,74,68.0,all_tables,0.411765,55,75,19,72,0.423077,0.743243,0.539216,0.64554,0.588235
0.02,74,70.0,all_tables,0.411765,55,75,19,72,0.423077,0.743243,0.539216,0.64554,0.588235
0.02,74,72.0,all_tables,0.411765,55,75,19,72,0.423077,0.743243,0.539216,0.64554,0.588235
0.02,74,74.0,all_tables,0.39819,55,78,19,69,0.413534,0.743243,0.531401,0.641026,0.60181
0.02,74,76.0,all_tables,0.393665,55,79,19,68,0.410448,0.743243,0.528846,0.639535,0.606335
0.02,74,78.0,all_tables,0.38009,56,81,18,66,0.408759,0.756757,0.530806,0.646651,0.61991
0.02,74,80.0,all_tables,0.38009,56,81,18,66,0.408759,0.756757,0.530806,0.646651,0.61991
0.02,74,82.0,all_tables,0.371041,56,83,18,64,0.402878,0.756757,0.525822,0.643678,0.628959
0.02,74,84.0,all_tables,0.366516,56,84,18,63,0.4,0.756757,0.523364,0.642202,0.633484
0.02,74,86.0,all_tables,0.352941,56,87,18,60,0.391608,0.756757,0.516129,0.637813,0.647059
0.02,74,88.0,all_tables,0.330317,56,92,18,55,0.378378,0.756757,0.504505,0.630631,0.669683
0.02,74,90.0,all_tables,0.307692,58,95,16,52,0.379085,0.783784,0.511013,0.64588,0.692308
0.02,74,92.0,all_tables,0.294118,58,98,16,49,0.371795,0.783784,0.504348,0.641593,0.705882
0.02,74,94.0,all_tables,0.294118,58,98,16,49,0.371795,0.783784,0.504348,0.641593,0.705882
0.02,74,40.0,high_tables,0.647059,29,49,45,98,0.371795,0.391892,0.381579,0.387701,0.352941
0.02,74,42.0,high_tables,0.647059,29,49,45,98,0.371795,0.391892,0.381579,0.387701,0.352941
0.02,74,44.0,high_tables,0.642534,29,50,45,97,0.367089,0.391892,0.379085,0.386667,0.357466
0.02,74,46.0,high_tables,0.642534,29,50,45,97,0.367089,0.391892,0.379085,0.386667,0.357466
0.02,74,48.0,high_tables,0.642534,29,50,45,97,0.367089,0.391892,0.379085,0.386667,0.357466
0.02,74,50.0,high_tables,0.638009,29,51,45,96,0.3625,0.391892,0.376623,0.385638,0.361991
0.02,74,52.0,high_tables,0.633484,29,52,45,95,0.358025,0.391892,0.374194,0.384615,0.366516
0.02,74,54.0,high_tables,0.624434,29,54,45,93,0.349398,0.391892,0.369427,0.382586,0.375566
0.02,74,56.0,high_tables,0.624434,29,54,45,93,0.349398,0.391892,0.369427,0.382586,0.375566
0.02,74,58.0,high_tables,0.615385,31,54,43,93,0.364706,0.418919,0.389937,0.406824,0.384615
0.02,74,60.0,high_tables,0.615385,31,54,43,93,0.364706,0.418919,0.389937,0.406824,0.384615
0.02,74,62.0,high_tables,0.61086,32,54,42,93,0.372093,0.432432,0.4,0.418848,0.38914
0.02,74,64.0,high_tables,0.597285,33,56,41,91,0.370787,0.445946,0.404908,0.428571,0.402715
0.02,74,66.0,high_tables,0.565611,36,60,38,87,0.375,0.486486,0.423529,0.459184,0.434389
0.02,74,68.0,high_tables,0.565611,36,60,38,87,0.375,0.486486,0.423529,0.459184,0.434389
0.02,74,70.0,high_tables,0.565611,36,60,38,87,0.375,0.486486,0.423529,0.459184,0.434389
0.02,74,72.0,high_tables,0.565611,36,60,38,87,0.375,0.486486,0.423529,0.459184,0.434389
0.02,74,74.0,high_tables,0.552036,36,63,38,84,0.363636,0.486486,0.416185,0.455696,0.447964
0.02,74,76.0,high_tables,0.547511,36,64,38,83,0.36,0.486486,0.413793,0.454545,0.452489
0.02,74,78.0,high_tables,0.533937,37,66,37,81,0.359223,0.5,0.418079,0.463659,0.466063
0.02,74,80.0,high_tables,0.529412,38,66,36,81,0.365385,0.513514,0.426966,0.475,0.470588
0.02,74,82.0,high_tables,0.520362,38,68,36,79,0.358491,0.513514,0.422222,0.472637,0.479638
0.02,74,84.0,high_tables,0.511312,39,69,35,78,0.361111,0.527027,0.428571,0.482673,0.488688
0.02,74,86.0,high_tables,0.479638,41,74,33,73,0.356522,0.554054,0.433862,0.498783,0.520362
0.02,74,88.0,high_tables,0.452489,41,80,33,67,0.338843,0.554054,0.420513,0.491607,0.547511
0.02,74,90.0,high_tables,0.411765,43,87,31,60,0.330769,0.581081,0.421569,0.504695,0.588235
0.02,74,92.0,high_tables,0.38914,45,90,29,57,0.333333,0.608108,0.430622,0.522042,0.61086
0.02,74,94.0,high_tables,0.375566,46,92,28,55,0.333333,0.621622,0.433962,0.529954,0.624434
0.02,74,40.0,no_tables,0.977376,2,3,72,144,0.4,0.027027,0.050633,0.033223,0.022624
0.02,74,42.0,no_tables,0.977376,2,3,72,144,0.4,0.027027,0.050633,0.033223,0.022624
