policy,ortogonal_cizgi,dolu_dikdortgen,izgara_sutun,izgara_satir,tp,fp,fn,tn,precision,recall,f1,f2,positive_rate
inspector_or_v2,4,4,4,6,66,58,1,96,0.532258,0.985075,0.691099,0.841837,0.561086
inspector_and_v2,4,4,4,6,58,15,9,139,0.794521,0.865672,0.828571,0.85044,0.330317
inspector_or_v2,4,6,2,2,66,59,1,95,0.528,0.985075,0.6875,0.839695,0.565611
inspector_and_v2,4,6,2,2,60,16,7,138,0.789474,0.895522,0.839161,0.872093,0.343891
inspector_or_v2,4,6,2,3,66,56,1,98,0.540984,0.985075,0.698413,0.846154,0.552036
inspector_and_v2,4,6,2,3,60,15,7,139,0.8,0.895522,0.84507,0.874636,0.339367
inspector_or_v2,4,6,2,4,66,54,1,100,0.55,0.985075,0.705882,0.850515,0.542986
inspector_and_v2,4,6,2,4,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,4,6,2,5,66,54,1,100,0.55,0.985075,0.705882,0.850515,0.542986
inspector_and_v2,4,6,2,5,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,4,6,2,6,66,54,1,100,0.55,0.985075,0.705882,0.850515,0.542986
inspector_and_v2,4,6,2,6,58,15,9,139,0.794521,0.865672,0.828571,0.85044,0.330317
inspector_or_v2,4,6,3,2,66,59,1,95,0.528,0.985075,0.6875,0.839695,0.565611
inspector_and_v2,4,6,3,2,60,16,7,138,0.789474,0.895522,0.839161,0.872093,0.343891
inspector_or_v2,4,6,3,3,66,56,1,98,0.540984,0.985075,0.698413,0.846154,0.552036
inspector_and_v2,4,6,3,3,60,15,7,139,0.8,0.895522,0.84507,0.874636,0.339367
inspector_or_v2,4,6,3,4,66,54,1,100,0.55,0.985075,0.705882,0.850515,0.542986
inspector_and_v2,4,6,3,4,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,4,6,3,5,66,54,1,100,0.55,0.985075,0.705882,0.850515,0.542986
inspector_and_v2,4,6,3,5,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,4,6,3,6,66,54,1,100,0.55,0.985075,0.705882,0.850515,0.542986
inspector_and_v2,4,6,3,6,58,15,9,139,0.794521,0.865672,0.828571,0.85044,0.330317
inspector_or_v2,4,6,4,2,66,58,1,96,0.532258,0.985075,0.691099,0.841837,0.561086
inspector_and_v2,4,6,4,2,60,16,7,138,0.789474,0.895522,0.839161,0.872093,0.343891
inspector_or_v2,4,6,4,3,66,56,1,98,0.540984,0.985075,0.698413,0.846154,0.552036
inspector_and_v2,4,6,4,3,60,15,7,139,0.8,0.895522,0.84507,0.874636,0.339367
inspector_or_v2,4,6,4,4,66,54,1,100,0.55,0.985075,0.705882,0.850515,0.542986
inspector_and_v2,4,6,4,4,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,4,6,4,5,66,54,1,100,0.55,0.985075,0.705882,0.850515,0.542986
inspector_and_v2,4,6,4,5,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,4,6,4,6,66,54,1,100,0.55,0.985075,0.705882,0.850515,0.542986
inspector_and_v2,4,6,4,6,58,15,9,139,0.794521,0.865672,0.828571,0.85044,0.330317
inspector_or_v2,4,8,2,2,66,58,1,96,0.532258,0.985075,0.691099,0.841837,0.561086
inspector_and_v2,4,8,2,2,60,16,7,138,0.789474,0.895522,0.839161,0.872093,0.343891
inspector_or_v2,4,8,2,3,66,54,1,100,0.55,0.985075,0.705882,0.850515,0.542986
inspector_and_v2,4,8,2,3,60,15,7,139,0.8,0.895522,0.84507,0.874636,0.339367
inspector_or_v2,4,8,2,4,66,52,1,102,0.559322,0.985075,0.713514,0.854922,0.533937
inspector_and_v2,4,8,2,4,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,4,8,2,5,66,52,1,102,0.559322,0.985075,0.713514,0.854922,0.533937
inspector_and_v2,4,8,2,5,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,4,8,2,6,66,52,1,102,0.559322,0.985075,0.713514,0.854922,0.533937
inspector_and_v2,4,8,2,6,58,15,9,139,0.794521,0.865672,0.828571,0.85044,0.330317
inspector_or_v2,4,8,3,2,66,58,1,96,0.532258,0.985075,0.691099,0.841837,0.561086
inspector_and_v2,4,8,3,2,60,16,7,138,0.789474,0.895522,0.839161,0.872093,0.343891
inspector_or_v2,4,8,3,3,66,54,1,100,0.55,0.985075,0.705882,0.850515,0.542986
inspector_and_v2,4,8,3,3,60,15,7,139,0.8,0.895522,0.84507,0.874636,0.339367
inspector_or_v2,4,8,3,4,66,52,1,102,0.559322,0.985075,0.713514,0.854922,0.533937
inspector_and_v2,4,8,3,4,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,4,8,3,5,66,52,1,102,0.559322,0.985075,0.713514,0.854922,0.533937
inspector_and_v2,4,8,3,5,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,4,8,3,6,66,52,1,102,0.559322,0.985075,0.713514,0.854922,0.533937
inspector_and_v2,4,8,3,6,58,15,9,139,0.794521,0.865672,0.828571,0.85044,0.330317
inspector_or_v2,4,8,4,2,66,57,1,97,0.536585,0.985075,0.694737,0.84399,0.556561
inspector_and_v2,4,8,4,2,60,16,7,138,0.789474,0.895522,0.839161,0.872093,0.343891
inspector_or_v2,4,8,4,3,66,54,1,100,0.55,0.985075,0.705882,0.850515,0.542986
inspector_and_v2,4,8,4,3,60,15,7,139,0.8,0.895522,0.84507,0.874636,0.339367
inspector_or_v2,4,8,4,4,66,52,1,102,0.559322,0.985075,0.713514,0.854922,0.533937
inspector_and_v2,4,8,4,4,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,4,8,4,5,66,52,1,102,0.559322,0.985075,0.713514,0.854922,0.533937
inspector_and_v2,4,8,4,5,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,4,8,4,6,66,52,1,102,0.559322,0.985075,0.713514,0.854922,0.533937
inspector_and_v2,4,8,4,6,58,15,9,139,0.794521,0.865672,0.828571,0.85044,0.330317
inspector_or_v2,4,10,2,2,66,58,1,96,0.532258,0.985075,0.691099,0.841837,0.561086
inspector_and_v2,4,10,2,2,60,16,7,138,0.789474,0.895522,0.839161,0.872093,0.343891
inspector_or_v2,4,10,2,3,66,53,1,101,0.554622,0.985075,0.709677,0.852713,0.538462
inspector_and_v2,4,10,2,3,60,15,7,139,0.8,0.895522,0.84507,0.874636,0.339367
inspector_or_v2,4,10,2,4,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,4,10,2,4,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,4,10,2,5,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,4,10,2,5,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,4,10,2,6,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,4,10,2,6,57,15,10,139,0.791667,0.850746,0.820144,0.838235,0.325792
inspector_or_v2,4,10,3,2,66,58,1,96,0.532258,0.985075,0.691099,0.841837,0.561086
inspector_and_v2,4,10,3,2,60,16,7,138,0.789474,0.895522,0.839161,0.872093,0.343891
inspector_or_v2,4,10,3,3,66,53,1,101,0.554622,0.985075,0.709677,0.852713,0.538462
inspector_and_v2,4,10,3,3,60,15,7,139,0.8,0.895522,0.84507,0.874636,0.339367
inspector_or_v2,4,10,3,4,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,4,10,3,4,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,4,10,3,5,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,4,10,3,5,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,4,10,3,6,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,4,10,3,6,57,15,10,139,0.791667,0.850746,0.820144,0.838235,0.325792
inspector_or_v2,4,10,4,2,66,57,1,97,0.536585,0.985075,0.694737,0.84399,0.556561
inspector_and_v2,4,10,4,2,60,16,7,138,0.789474,0.895522,0.839161,0.872093,0.343891
inspector_or_v2,4,10,4,3,66,53,1,101,0.554622,0.985075,0.709677,0.852713,0.538462
inspector_and_v2,4,10,4,3,60,15,7,139,0.8,0.895522,0.84507,0.874636,0.339367
inspector_or_v2,4,10,4,4,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,4,10,4,4,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,4,10,4,5,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,4,10,4,5,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,4,10,4,6,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,4,10,4,6,57,15,10,139,0.791667,0.850746,0.820144,0.838235,0.325792
inspector_or_v2,4,12,2,2,66,58,1,96,0.532258,0.985075,0.691099,0.841837,0.561086
inspector_and_v2,4,12,2,2,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,4,12,2,3,66,53,1,101,0.554622,0.985075,0.709677,0.852713,0.538462
inspector_and_v2,4,12,2,3,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,4,12,2,4,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,4,12,2,4,58,15,9,139,0.794521,0.865672,0.828571,0.85044,0.330317
