policy,ortogonal_cizgi,dolu_dikdortgen,izgara_sutun,izgara_satir,tp,fp,fn,tn,precision,recall,f1,f2,positive_rate
inspector_and_v2,8,10,3,4,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,8,10,3,5,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,8,10,3,5,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,8,10,3,6,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,8,10,3,6,57,12,10,142,0.826087,0.850746,0.838235,0.845697,0.312217
inspector_or_v2,8,10,4,2,66,54,1,100,0.55,0.985075,0.705882,0.850515,0.542986
inspector_and_v2,8,10,4,2,60,13,7,141,0.821918,0.895522,0.857143,0.879765,0.330317
inspector_or_v2,8,10,4,3,66,50,1,104,0.568966,0.985075,0.721311,0.859375,0.524887
inspector_and_v2,8,10,4,3,60,12,7,142,0.833333,0.895522,0.863309,0.882353,0.325792
inspector_or_v2,8,10,4,4,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,8,10,4,4,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,8,10,4,5,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,8,10,4,5,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,8,10,4,6,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,8,10,4,6,57,12,10,142,0.826087,0.850746,0.838235,0.845697,0.312217
inspector_or_v2,8,12,2,2,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,8,12,2,2,59,13,8,141,0.819444,0.880597,0.848921,0.867647,0.325792
inspector_or_v2,8,12,2,3,66,50,1,104,0.568966,0.985075,0.721311,0.859375,0.524887
inspector_and_v2,8,12,2,3,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,8,12,2,4,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,8,12,2,4,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,8,12,2,5,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,8,12,2,5,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,8,12,2,6,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,8,12,2,6,56,12,11,142,0.823529,0.835821,0.82963,0.833333,0.307692
inspector_or_v2,8,12,3,2,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,8,12,3,2,59,13,8,141,0.819444,0.880597,0.848921,0.867647,0.325792
inspector_or_v2,8,12,3,3,66,50,1,104,0.568966,0.985075,0.721311,0.859375,0.524887
inspector_and_v2,8,12,3,3,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,8,12,3,4,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,8,12,3,4,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,8,12,3,5,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,8,12,3,5,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,8,12,3,6,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,8,12,3,6,56,12,11,142,0.823529,0.835821,0.82963,0.833333,0.307692
inspector_or_v2,8,12,4,2,66,54,1,100,0.55,0.985075,0.705882,0.850515,0.542986
inspector_and_v2,8,12,4,2,59,13,8,141,0.819444,0.880597,0.848921,0.867647,0.325792
inspector_or_v2,8,12,4,3,66,50,1,104,0.568966,0.985075,0.721311,0.859375,0.524887
inspector_and_v2,8,12,4,3,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,8,12,4,4,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,8,12,4,4,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,8,12,4,5,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,8,12,4,5,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,8,12,4,6,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,8,12,4,6,56,12,11,142,0.823529,0.835821,0.82963,0.833333,0.307692
inspector_or_v2,10,4,2,2,66,60,1,94,0.52381,0.985075,0.683938,0.837563,0.570136
inspector_and_v2,10,4,2,2,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,10,4,2,3,66,57,1,97,0.536585,0.985075,0.694737,0.84399,0.556561
inspector_and_v2,10,4,2,3,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,10,4,2,4,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,10,4,2,4,58,14,9,140,0.805556,0.865672,0.834532,0.852941,0.325792
inspector_or_v2,10,4,2,5,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,10,4,2,5,58,14,9,140,0.805556,0.865672,0.834532,0.852941,0.325792
inspector_or_v2,10,4,2,6,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,10,4,2,6,57,14,10,140,0.802817,0.850746,0.826087,0.840708,0.321267
inspector_or_v2,10,4,3,2,66,60,1,94,0.52381,0.985075,0.683938,0.837563,0.570136
inspector_and_v2,10,4,3,2,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,10,4,3,3,66,57,1,97,0.536585,0.985075,0.694737,0.84399,0.556561
inspector_and_v2,10,4,3,3,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,10,4,3,4,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,10,4,3,4,58,14,9,140,0.805556,0.865672,0.834532,0.852941,0.325792
inspector_or_v2,10,4,3,5,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,10,4,3,5,58,14,9,140,0.805556,0.865672,0.834532,0.852941,0.325792
inspector_or_v2,10,4,3,6,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,10,4,3,6,57,14,10,140,0.802817,0.850746,0.826087,0.840708,0.321267
inspector_or_v2,10,4,4,2,66,59,1,95,0.528,0.985075,0.6875,0.839695,0.565611
inspector_and_v2,10,4,4,2,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,10,4,4,3,66,57,1,97,0.536585,0.985075,0.694737,0.84399,0.556561
inspector_and_v2,10,4,4,3,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,10,4,4,4,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,10,4,4,4,58,14,9,140,0.805556,0.865672,0.834532,0.852941,0.325792
inspector_or_v2,10,4,4,5,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,10,4,4,5,58,14,9,140,0.805556,0.865672,0.834532,0.852941,0.325792
inspector_or_v2,10,4,4,6,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,10,4,4,6,57,14,10,140,0.802817,0.850746,0.826087,0.840708,0.321267
inspector_or_v2,10,6,2,2,66,56,1,98,0.540984,0.985075,0.698413,0.846154,0.552036
inspector_and_v2,10,6,2,2,59,13,8,141,0.819444,0.880597,0.848921,0.867647,0.325792
inspector_or_v2,10,6,2,3,66,53,1,101,0.554622,0.985075,0.709677,0.852713,0.538462
inspector_and_v2,10,6,2,3,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,10,6,2,4,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,10,6,2,4,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,10,6,2,5,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,10,6,2,5,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,10,6,2,6,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,10,6,2,6,57,12,10,142,0.826087,0.850746,0.838235,0.845697,0.312217
inspector_or_v2,10,6,3,2,66,56,1,98,0.540984,0.985075,0.698413,0.846154,0.552036
inspector_and_v2,10,6,3,2,59,13,8,141,0.819444,0.880597,0.848921,0.867647,0.325792
inspector_or_v2,10,6,3,3,66,53,1,101,0.554622,0.985075,0.709677,0.852713,0.538462
inspector_and_v2,10,6,3,3,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,10,6,3,4,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,10,6,3,4,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,10,6,3,5,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,10,6,3,5,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,10,6,3,6,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,10,6,3,6,57,12,10,142,0.826087,0.850746,0.838235,0.845697,0.312217
inspector_or_v2,10,6,4,2,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,10,6,4,2,59,13,8,141,0.819444,0.880597,0.848921,0.867647,0.325792
inspector_or_v2,10,6,4,3,66,53,1,101,0.554622,0.985075,0.709677,0.852713,0.538462
inspector_and_v2,10,6,4,3,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,10,6,4,4,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,10,6,4,4,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,10,6,4,5,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,10,6,4,5,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,10,6,4,6,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,10,6,4,6,57,12,10,142,0.826087,0.850746,0.838235,0.845697,0.312217
inspector_or_v2,10,8,2,2,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,10,8,2,2,59,13,8,141,0.819444,0.880597,0.848921,0.867647,0.325792
inspector_or_v2,10,8,2,3,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,10,8,2,3,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,10,8,2,4,66,49,1,105,0.573913,0.985075,0.725275,0.861619,0.520362
inspector_and_v2,10,8,2,4,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,10,8,2,5,66,49,1,105,0.573913,0.985075,0.725275,0.861619,0.520362
inspector_and_v2,10,8,2,5,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,10,8,2,6,66,49,1,105,0.573913,0.985075,0.725275,0.861619,0.520362
inspector_and_v2,10,8,2,6,57,12,10,142,0.826087,0.850746,0.838235,0.845697,0.312217
inspector_or_v2,10,8,3,2,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,10,8,3,2,59,13,8,141,0.819444,0.880597,0.848921,0.867647,0.325792
inspector_or_v2,10,8,3,3,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,10,8,3,3,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,10,8,3,4,66,49,1,105,0.573913,0.985075,0.725275,0.861619,0.520362
inspector_and_v2,10,8,3,4,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,10,8,3,5,66,49,1,105,0.573913,0.985075,0.725275,0.861619,0.520362
inspector_and_v2,10,8,3,5,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,10,8,3,6,66,49,1,105,0.573913,0.985075,0.725275,0.861619,0.520362
inspector_and_v2,10,8,3,6,57,12,10,142,0.826087,0.850746,0.838235,0.845697,0.312217
inspector_or_v2,10,8,4,2,66,54,1,100,0.55,0.985075,0.705882,0.850515,0.542986
inspector_and_v2,10,8,4,2,59,13,8,141,0.819444,0.880597,0.848921,0.867647,0.325792
inspector_or_v2,10,8,4,3,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,10,8,4,3,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,10,8,4,4,66,49,1,105,0.573913,0.985075,0.725275,0.861619,0.520362
inspector_and_v2,10,8,4,4,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,10,8,4,5,66,49,1,105,0.573913,0.985075,0.725275,0.861619,0.520362
inspector_and_v2,10,8,4,5,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,10,8,4,6,66,49,1,105,0.573913,0.985075,0.725275,0.861619,0.520362
inspector_and_v2,10,8,4,6,57,12,10,142,0.826087,0.850746,0.838235,0.845697,0.312217
inspector_or_v2,10,10,2,2,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,10,10,2,2,59,13,8,141,0.819444,0.880597,0.848921,0.867647,0.325792
inspector_or_v2,10,10,2,3,66,50,1,104,0.568966,0.985075,0.721311,0.859375,0.524887
inspector_and_v2,10,10,2,3,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,10,10,2,4,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,10,10,2,4,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,10,10,2,5,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,10,10,2,5,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,10,10,2,6,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,10,10,2,6,56,12,11,142,0.823529,0.835821,0.82963,0.833333,0.307692
inspector_or_v2,10,10,3,2,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,10,10,3,2,59,13,8,141,0.819444,0.880597,0.848921,0.867647,0.325792
inspector_or_v2,10,10,3,3,66,50,1,104,0.568966,0.985075,0.721311,0.859375,0.524887
inspector_and_v2,10,10,3,3,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,10,10,3,4,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,10,10,3,4,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,10,10,3,5,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,10,10,3,5,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,10,10,3,6,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,10,10,3,6,56,12,11,142,0.823529,0.835821,0.82963,0.833333,0.307692
inspector_or_v2,10,10,4,2,66,54,1,100,0.55,0.985075,0.705882,0.850515,0.542986
inspector_and_v2,10,10,4,2,59,13,8,141,0.819444,0.880597,0.848921,0.867647,0.325792
inspector_or_v2,10,10,4,3,66,50,1,104,0.568966,0.985075,0.721311,0.859375,0.524887
inspector_and_v2,10,10,4,3,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,10,10,4,4,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,10,10,4,4,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,10,10,4,5,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,10,10,4,5,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,10,10,4,6,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,10,10,4,6,56,12,11,142,0.823529,0.835821,0.82963,0.833333,0.307692
inspector_or_v2,10,12,2,2,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,10,12,2,2,58,13,9,141,0.816901,0.865672,0.84058,0.855457,0.321267
inspector_or_v2,10,12,2,3,66,50,1,104,0.568966,0.985075,0.721311,0.859375,0.524887
inspector_and_v2,10,12,2,3,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,10,12,2,4,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,10,12,2,4,57,12,10,142,0.826087,0.850746,0.838235,0.845697,0.312217
inspector_or_v2,10,12,2,5,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,10,12,2,5,57,12,10,142,0.826087,0.850746,0.838235,0.845697,0.312217
inspector_or_v2,10,12,2,6,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,10,12,2,6,55,12,12,142,0.820896,0.820896,0.820896,0.820896,0.303167
inspector_or_v2,10,12,3,2,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,10,12,3,2,58,13,9,141,0.816901,0.865672,0.84058,0.855457,0.321267
inspector_or_v2,10,12,3,3,66,50,1,104,0.568966,0.985075,0.721311,0.859375,0.524887
inspector_and_v2,10,12,3,3,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,10,12,3,4,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,10,12,3,4,57,12,10,142,0.826087,0.850746,0.838235,0.845697,0.312217
inspector_or_v2,10,12,3,5,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,10,12,3,5,57,12,10,142,0.826087,0.850746,0.838235,0.845697,0.312217
inspector_or_v2,10,12,3,6,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,10,12,3,6,55,12,12,142,0.820896,0.820896,0.820896,0.820896,0.303167
inspector_or_v2,10,12,4,2,66,54,1,100,0.55,0.985075,0.705882,0.850515,0.542986
inspector_and_v2,10,12,4,2,58,13,9,141,0.816901,0.865672,0.84058,0.855457,0.321267
inspector_or_v2,10,12,4,3,66,50,1,104,0.568966,0.985075,0.721311,0.859375,0.524887
inspector_and_v2,10,12,4,3,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,10,12,4,4,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,10,12,4,4,57,12,10,142,0.826087,0.850746,0.838235,0.845697,0.312217
inspector_or_v2,10,12,4,5,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,10,12,4,5,57,12,10,142,0.826087,0.850746,0.838235,0.845697,0.312217
inspector_or_v2,10,12,4,6,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,10,12,4,6,55,12,12,142,0.820896,0.820896,0.820896,0.820896,0.303167
inspector_or_v2,12,4,2,2,66,60,1,94,0.52381,0.985075,0.683938,0.837563,0.570136
inspector_and_v2,12,4,2,2,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,12,4,2,3,66,57,1,97,0.536585,0.985075,0.694737,0.84399,0.556561
inspector_and_v2,12,4,2,3,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,12,4,2,4,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,12,4,2,4,58,14,9,140,0.805556,0.865672,0.834532,0.852941,0.325792
inspector_or_v2,12,4,2,5,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,12,4,2,5,58,14,9,140,0.805556,0.865672,0.834532,0.852941,0.325792
inspector_or_v2,12,4,2,6,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,12,4,2,6,57,14,10,140,0.802817,0.850746,0.826087,0.840708,0.321267
inspector_or_v2,12,4,3,2,66,60,1,94,0.52381,0.985075,0.683938,0.837563,0.570136
inspector_and_v2,12,4,3,2,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,12,4,3,3,66,57,1,97,0.536585,0.985075,0.694737,0.84399,0.556561
inspector_and_v2,12,4,3,3,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,12,4,3,4,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,12,4,3,4,58,14,9,140,0.805556,0.865672,0.834532,0.852941,0.325792
inspector_or_v2,12,4,3,5,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,12,4,3,5,58,14,9,140,0.805556,0.865672,0.834532,0.852941,0.325792
inspector_or_v2,12,4,3,6,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,12,4,3,6,57,14,10,140,0.802817,0.850746,0.826087,0.840708,0.321267
inspector_or_v2,12,4,4,2,66,59,1,95,0.528,0.985075,0.6875,0.839695,0.565611
inspector_and_v2,12,4,4,2,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,12,4,4,3,66,57,1,97,0.536585,0.985075,0.694737,0.84399,0.556561
inspector_and_v2,12,4,4,3,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,12,4,4,4,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,12,4,4,4,58,14,9,140,0.805556,0.865672,0.834532,0.852941,0.325792
inspector_or_v2,12,4,4,5,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,12,4,4,5,58,14,9,140,0.805556,0.865672,0.834532,0.852941,0.325792
inspector_or_v2,12,4,4,6,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,12,4,4,6,57,14,10,140,0.802817,0.850746,0.826087,0.840708,0.321267
inspector_or_v2,12,6,2,2,66,56,1,98,0.540984,0.985075,0.698413,0.846154,0.552036
inspector_and_v2,12,6,2,2,59,13,8,141,0.819444,0.880597,0.848921,0.867647,0.325792
inspector_or_v2,12,6,2,3,66,53,1,101,0.554622,0.985075,0.709677,0.852713,0.538462
inspector_and_v2,12,6,2,3,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,12,6,2,4,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,12,6,2,4,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,12,6,2,5,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,12,6,2,5,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,12,6,2,6,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,12,6,2,6,57,12,10,142,0.826087,0.850746,0.838235,0.845697,0.312217
inspector_or_v2,12,6,3,2,66,56,1,98,0.540984,0.985075,0.698413,0.846154,0.552036
inspector_and_v2,12,6,3,2,59,13,8,141,0.819444,0.880597,0.848921,0.867647,0.325792
inspector_or_v2,12,6,3,3,66,53,1,101,0.554622,0.985075,0.709677,0.852713,0.538462
inspector_and_v2,12,6,3,3,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,12,6,3,4,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,12,6,3,4,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,12,6,3,5,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,12,6,3,5,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,12,6,3,6,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,12,6,3,6,57,12,10,142,0.826087,0.850746,0.838235,0.845697,0.312217
inspector_or_v2,12,6,4,2,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,12,6,4,2,59,13,8,141,0.819444,0.880597,0.848921,0.867647,0.325792
inspector_or_v2,12,6,4,3,66,53,1,101,0.554622,0.985075,0.709677,0.852713,0.538462
inspector_and_v2,12,6,4,3,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,12,6,4,4,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,12,6,4,4,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,12,6,4,5,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,12,6,4,5,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,12,6,4,6,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,12,6,4,6,57,12,10,142,0.826087,0.850746,0.838235,0.845697,0.312217
inspector_or_v2,12,8,2,2,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,12,8,2,2,59,13,8,141,0.819444,0.880597,0.848921,0.867647,0.325792
inspector_or_v2,12,8,2,3,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,12,8,2,3,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,12,8,2,4,66,49,1,105,0.573913,0.985075,0.725275,0.861619,0.520362
inspector_and_v2,12,8,2,4,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,12,8,2,5,66,49,1,105,0.573913,0.985075,0.725275,0.861619,0.520362
inspector_and_v2,12,8,2,5,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,12,8,2,6,66,49,1,105,0.573913,0.985075,0.725275,0.861619,0.520362
inspector_and_v2,12,8,2,6,57,12,10,142,0.826087,0.850746,0.838235,0.845697,0.312217
inspector_or_v2,12,8,3,2,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,12,8,3,2,59,13,8,141,0.819444,0.880597,0.848921,0.867647,0.325792
inspector_or_v2,12,8,3,3,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,12,8,3,3,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,12,8,3,4,66,49,1,105,0.573913,0.985075,0.725275,0.861619,0.520362
inspector_and_v2,12,8,3,4,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,12,8,3,5,66,49,1,105,0.573913,0.985075,0.725275,0.861619,0.520362
inspector_and_v2,12,8,3,5,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,12,8,3,6,66,49,1,105,0.573913,0.985075,0.725275,0.861619,0.520362
inspector_and_v2,12,8,3,6,57,12,10,142,0.826087,0.850746,0.838235,0.845697,0.312217
inspector_or_v2,12,8,4,2,66,54,1,100,0.55,0.985075,0.705882,0.850515,0.542986
inspector_and_v2,12,8,4,2,59,13,8,141,0.819444,0.880597,0.848921,0.867647,0.325792
inspector_or_v2,12,8,4,3,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
